Region.Name,country_birth,TOTAL,ALABAMA,ALASKA,ARIZONA,ARKANSAS,CALIFORNIA,COLORADO,CONNECTICUT,DELAWARE,DISTRICT.OF.COLUMBIA,FLORIDA,GEORGIA,GUAM,HAWAII,IDAHO,ILLINOIS,INDIANA,IOWA,KANSAS,KENTUCKY,LOUISIANA,MAINE,MARYLAND,MASSACHUSETTS,MICHIGAN,MINNESOTA,MISSISSIPPI,MISSOURI,MONTANA,NEBRASKA,NEVADA,NEW.HAMPSHIRE,NEW.JERSEY,NEW.MEXICO,NEW.YORK,NORTH.CAROLINA,NORTH.DAKOTA,OHIO,OKLAHOMA,OREGON,PENNSYLVANIA,PUERTO.RICO,RHODE.ISLAND,SOUTH.CAROLINA,SOUTH.DAKOTA,TENNESSEE,TEXAS,U.S..ARMED.SERVICES.POSTS,U.S..TERRITORIES1,UTAH,VERMONT,VIRGINIA,WASHINGTON,WEST.VIRGINIA,WISCONSIN,WYOMING,UNKNOWN
Africa,Benin,1515,0,0,3,7,33,43,5,0,8,23,73,0,0,0,151,68,36,6,6,3,0,178,22,14,53,0,12,0,79,0,3,26,0,168,48,0,35,5,4,83,0,0,15,0,5,84,0,0,0,0,75,10,0,7,0,24
Americas,Bermuda,312,0,0,0,0,20,0,0,0,0,38,39,0,0,0,0,0,0,0,0,0,0,16,18,3,0,0,0,0,0,0,0,3,0,36,9,0,0,0,0,13,0,3,3,0,4,10,0,0,0,0,9,0,0,0,0,2
Asia,Bhutan,28756,0,24,243,0,143,682,14,0,0,31,1123,0,0,220,417,8,670,252,987,0,0,349,879,621,445,0,387,0,328,64,497,10,15,1963,892,417,7569,0,207,4498,0,41,9,482,355,1353,0,0,326,694,635,511,0,97,0,269
Americas,Bolivia,8130,11,9,31,10,721,44,51,3,37,1212,70,0,0,0,116,15,3,13,22,28,0,575,146,23,31,0,34,0,0,48,4,291,18,517,82,0,42,26,37,58,9,173,44,0,34,438,0,0,95,0,2759,52,4,37,0,88
Europe,Bosnia and Herzegovina,8610,18,0,314,3,295,90,309,0,10,653,517,0,3,170,608,134,534,11,316,26,14,30,104,614,146,0,990,0,32,89,71,123,0,537,118,60,178,11,60,240,0,0,7,20,95,344,0,0,119,37,169,191,0,104,0,50
Africa,Botswana,169,0,0,0,0,10,0,0,0,0,16,12,0,0,0,3,0,0,0,0,0,0,14,4,3,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
Americas,Brazil,49281,211,33,390,62,5044,482,1683,62,106,11445,1917,0,215,61,737,250,115,144,120,215,63,819,7595,493,247,57,218,43,62,369,350,3422,80,3183,835,12,470,133,267,845,37,213,412,9,295,2435,18,0,687,34,925,644,35,206,9,447
Asia,Brunei,81,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
Europe,Bulgaria,9705,22,24,152,11,1158,195,95,41,43,835,326,0,24,19,1849,47,17,33,25,41,56,206,619,131,80,3,119,5,8,386,31,410,3,733,143,5,105,33,50,246,0,15,70,3,42,331,0,0,41,0,326,287,3,108,6,79
Africa,Burkina Faso,1774,0,0,13,3,38,25,0,0,22,15,87,0,0,0,45,19,0,3,0,4,0,147,21,16,18,0,10,0,60,0,0,115,0,497,27,0,76,6,3,77,0,0,12,0,5,142,4,0,3,0,62,44,3,29,0,27
