"YEAR","SAMPLE","SERIAL","CBSERIAL","HHWT","CLUSTER","STATEFIP","COUNTYFIP","STRATA","GQ","PERNUM","PERWT","SEX","AGE","BPL","BPLD","CITIZEN","YRNATUR","YRSUSA1","OCC","INCTOT","INCWAGE","category"
2020,202001,814384,2020010032957,51,2020008143841,39,93,80239,3,1,51,1,42,210,21050,2,1986,40,7700,20000,20000,"Production, Transportation, and Material Moving Occupations"
2020,202001,814419,2020010033900,38,2020008144191,39,17,540339,4,1,38,1,20,500,50000,3,9999,19,9130,5500,5500,"Production, Transportation, and Material Moving Occupations"
2020,202001,814473,2020010035192,61,2020008144731,39,139,220039,4,1,61,1,52,501,50100,1,9999,49,8740,25600,25600,"Production, Transportation, and Material Moving Occupations"
2020,202001,814493,2020010035752,50,2020008144931,39,49,410539,4,1,50,1,19,500,50000,3,9999,1,4020,1200,1200,"Service Occupations"
2020,202001,814501,2020010035960,27,2020008145011,39,153,180339,4,1,27,1,22,425,42500,3,9999,1,5150,15000,15000,"Office and Administrative Support Occupations:"
2020,202001,814504,2020010036073,27,2020008145041,39,57,470039,4,1,27,1,21,515,51500,2,2017,8,3645,19000,19000,"Service Occupations"
2020,202001,814529,2020010036722,48,2020008145291,39,35,90839,4,1,48,2,18,518,51800,3,9999,2,0,0,0,NA
2020,202001,814539,2020010036826,61,2020008145391,39,89,380039,4,1,61,1,18,500,50000,3,9999,1,6130,0,0,"Natural Resources, Construction, and Maintenance Occupations"
2020,202001,814580,2020010038016,77,2020008145801,39,89,380039,4,1,77,1,18,518,51800,3,9999,0,4220,750,750,"Service Occupations"
2020,202001,814606,2020010038649,39,2020008146061,39,49,410539,4,1,39,1,19,500,50000,3,9999,8,5165,7000,7000,"Office and Administrative Support Occupations:"
2020,202001,814651,2020010039709,56,2020008146511,39,35,90939,4,1,56,1,18,521,52100,3,9999,9,9920,0,0,"Production, Transportation, and Material Moving Occupations"
2020,202001,814682,2020010040460,25,2020008146821,39,41,400039,4,1,25,2,19,600,60031,3,9999,2,4640,8000,8000,"Service Occupations"
2020,202001,814691,2020010040687,43,2020008146911,39,89,380039,4,1,43,1,18,518,51800,3,9999,0,4220,750,750,"Service Occupations"
2020,202001,814767,2020010042917,54,2020008147671,39,93,80239,3,1,54,1,56,410,41000,1,9999,48,0,0,0,NA
2020,202001,814798,2020010043601,46,2020008147981,39,49,410239,4,1,46,2,18,521,52100,3,9999,1,5860,3100,3100,"Office and Administrative Support Occupations:"
2020,202001,814799,2020010043619,60,2020008147991,39,49,410539,4,1,60,2,20,500,50000,2,2001,19,5860,8400,8400,"Office and Administrative Support Occupations:"
2020,202001,814806,2020010043751,12,2020008148061,39,165,530139,4,1,12,1,48,515,51500,2,1995,30,7855,25600,25600,"Production, Transportation, and Material Moving Occupations"
2020,202001,814814,2020010043913,49,2020008148141,39,0,240039,4,1,49,1,23,260,26044,3,9999,5,0,0,0,NA
2020,202001,814845,2020010044832,50,2020008148451,39,49,411039,3,1,50,1,42,200,20000,3,9999,3,6230,0,0,"Natural Resources, Construction, and Maintenance Occupations"
2020,202001,814860,2020010045208,45,2020008148601,39,35,90839,4,1,45,2,21,500,50000,3,9999,4,2545,0,0,"Education, Legal, Community Service, Arts, and Media Occupations"
2020,202001,814900,2020010046147,60,2020008149001,39,61,550439,4,1,60,1,19,600,60032,1,9999,7,9645,13000,13000,"Production, Transportation, and Material Moving Occupations"
2020,202001,814925,2020010046775,52,2020008149251,39,0,260039,3,1,52,1,34,200,20000,2,2007,15,6230,15000,15000,"Natural Resources, Construction, and Maintenance Occupations"
2020,202001,814934,2020010047018,51,2020008149341,39,89,380039,4,1,51,1,18,500,50000,3,9999,1,6130,0,0,"Natural Resources, Construction, and Maintenance Occupations"
2020,202001,815013,2020010049142,60,2020008150131,39,0,480039,3,1,60,1,56,150,15000,1,9999,53,0,0,0,NA
2020,202001,815084,2020010051033,30,2020008150841,39,61,550439,4,1,30,2,20,518,51800,2,2001,19,2634,23800,23800,"Education, Legal, Community Service, Arts, and Media Occupations"
2020,202001,815090,2020010051195,55,2020008150901,39,153,180339,4,1,55,2,20,542,54200,3,9999,1,0,0,0,NA
2020,202001,815125,2020010051821,49,2020008151251,39,49,410539,4,1,49,1,19,500,50000,3,9999,8,5165,7000,7000,"Office and Administrative Support Occupations:"
2020,202001,815163,2020010052634,5,2020008151631,39,35,90839,4,1,5,1,25,501,50100,1,9999,9,2350,0,0,"Education, Legal, Community Service, Arts, and Media Occupations"
2020,202001,815166,2020010052729,3,2020008151661,39,57,470039,4,1,3,1,25,600,60075,3,9999,1,0,0,0,NA
2020,202001,815179,2020010053180,52,2020008151791,39,35,90939,4,1,52,1,18,500,50000,3,9999,1,1970,0,0,"Computer and Mathematical Occupations"
2020,202001,815187,2020010053370,13,2020008151871,39,61,550739,4,1,13,1,25,600,60075,3,9999,1,0,0,0,NA
2020,202001,815214,2020010054195,47,2020008152141,39,17,540239,3,1,47,2,32,200,20000,2,2009,24,4020,0,0,"Service Occupations"
2020,202001,815222,2020010054371,63,2020008152221,39,61,550439,4,1,63,1,18,600,60064,2,2010,11,4655,2000,2000,"Service Occupations"
2020,202001,815261,2020010055376,60,2020008152611,39,17,540339,4,1,60,1,19,500,50000,3,9999,1,7340,7500,7500,"Natural Resources, Construction, and Maintenance Occupations"
2020,202001,815265,2020010055431,47,2020008152651,39,93,80239,4,1,47,2,18,535,53500,1,9999,9,9620,25000,25000,"Production, Transportation, and Material Moving Occupations"
2020,202001,815297,2020010056245,16,2020008152971,39,93,80139,4,1,16,2,50,150,15000,2,1982,47,0,8000,0,NA
2020,202001,815320,2020010056700,17,2020008153201,39,49,410539,4,1,17,1,32,502,50200,3,9999,2,7220,10000,10000,"Natural Resources, Construction, and Maintenance Occupations"
2020,202001,815331,2020010057051,63,2020008153311,39,35,90639,3,1,63,2,33,200,20000,2,2008,25,4020,0,0,"Service Occupations"
2020,202001,815348,2020010057429,31,2020008153481,39,17,540339,4,1,31,1,20,500,50000,3,9999,19,9130,5500,5500,"Production, Transportation, and Material Moving Occupations"
2020,202001,815373,2020010058075,20,2020008153731,39,49,410539,4,1,20,2,27,502,50200,3,9999,0,420,2500,2500,"Management, Business and Financial Operations"
2020,202001,815404,2020010058907,22,2020008154041,39,113,460339,3,1,22,2,33,200,20000,2,2008,25,4020,0,0,"Service Occupations"
2020,202001,815435,2020010059697,43,2020008154351,39,49,410539,4,1,43,1,18,150,15000,1,9999,1,4720,6200,6200,"Sales and Related Occupations:"
2020,202001,815498,2020010061724,58,2020008154981,39,0,480039,3,1,58,1,56,150,15000,1,9999,53,0,0,0,NA
2020,202001,815508,2020010062076,46,2020008155081,39,0,420039,3,1,46,1,42,210,21050,2,1986,40,7700,20000,20000,"Production, Transportation, and Material Moving Occupations"
2020,202001,815561,2020010063638,28,2020008155611,39,0,50039,4,1,28,1,49,500,50000,2,2008,29,9640,4400,4400,"Production, Transportation, and Material Moving Occupations"
2020,202001,815569,2020010063810,36,2020008155691,39,0,350039,3,1,36,1,88,434,43400,2,1952,68,0,21600,0,NA
2020,202001,815601,2020010064534,20,2020008156011,39,61,550439,4,1,20,2,20,500,50040,3,9999,4,0,0,0,NA
2020,202001,815619,2020010065084,52,2020008156191,39,49,410239,4,1,52,1,30,502,50200,3,9999,1,2545,23300,23300,"Education, Legal, Community Service, Arts, and Media Occupations"
2020,202001,815650,2020010065893,125,2020008156501,39,49,410539,4,1,125,1,19,500,50000,3,9999,1,4020,1200,1200,"Service Occupations"
2020,202001,815654,2020010066013,56,2020008156541,39,17,540239,3,1,56,1,23,200,20000,3,9999,20,4220,7000,7000,"Service Occupations"
2020,202001,815667,2020010066193,16,2020008156671,39,35,90839,4,1,16,1,22,518,51800,3,9999,4,2545,9600,9600,"Education, Legal, Community Service, Arts, and Media Occupations"
2020,202001,815691,2020010066800,59,2020008156911,39,35,90939,4,1,59,1,18,600,60072,1,9999,11,0,0,0,NA
2020,202001,815703,2020010067200,57,2020008157031,39,49,410739,4,1,57,1,18,500,50000,3,9999,1,4720,0,0,"Sales and Related Occupations:"
2020,202001,815712,2020010067381,16,2020008157121,39,35,90839,4,1,16,2,21,500,50000,3,9999,4,2545,0,0,"Education, Legal, Community Service, Arts, and Media Occupations"
2020,202001,815715,2020010067479,47,2020008157151,39,57,470039,4,1,47,1,32,524,52400,3,9999,4,0,30000,0,NA
2020,202001,815719,2020010067563,65,2020008157191,39,153,180339,4,1,65,1,22,425,42500,3,9999,1,5150,15000,15000,"Office and Administrative Support Occupations:"
2020,202001,815740,2020010068124,53,2020008157401,39,35,90839,4,1,53,1,18,500,50000,3,9999,1,0,0,0,NA
2020,202001,815765,2020010068722,55,2020008157651,39,0,480039,3,1,55,1,22,522,52200,3,9999,19,0,0,0,NA
2020,202001,815809,2020010070088,55,2020008158091,39,113,460339,3,1,55,2,40,200,20000,3,9999,22,7020,2000,2000,"Natural Resources, Construction, and Maintenance Occupations"
2020,202001,815815,2020010070217,45,2020008158151,39,0,260039,3,1,45,1,33,200,20000,3,9999,21,6230,12000,12000,"Natural Resources, Construction, and Maintenance Occupations"
2020,202001,815839,2020010070782,52,2020008158391,39,0,280039,3,1,52,1,30,524,52400,2,2018,11,20,0,0,"Management, Business and Financial Operations"
2020,202001,815918,2020010072439,42,2020008159181,39,35,90239,4,1,42,2,18,518,51800,3,9999,2,0,0,0,NA
2020,202001,815950,2020010073224,16,2020008159501,39,61,550539,4,1,16,1,43,210,21070,1,9999,6,0,10800,0,NA
2020,202001,815959,2020010073382,17,2020008159591,39,35,90839,4,1,17,1,18,500,50000,3,9999,1,0,0,0,NA
2020,202001,815969,2020010073605,11,2020008159691,39,35,90439,4,1,11,1,43,210,21070,1,9999,6,0,10800,0,NA
2020,202001,816127,2020010077316,39,2020008161271,39,0,420039,3,1,39,1,47,200,20000,3,9999,15,9130,0,0,"Production, Transportation, and Material Moving Occupations"
2020,202001,816157,2020010078191,46,2020008161571,39,45,390039,3,1,46,1,42,210,21050,2,1986,40,7700,20000,20000,"Production, Transportation, and Material Moving Occupations"
2020,202001,816158,2020010078203,15,2020008161581,39,17,540339,4,1,15,1,31,524,52400,3,9999,8,0,0,0,NA
2020,202001,816160,2020010078267,27,2020008161601,39,35,90839,4,1,27,1,43,210,21070,1,9999,6,0,10800,0,NA
2020,202001,816173,2020010078616,28,2020008161731,39,35,90239,4,1,28,1,19,500,50000,3,9999,1,0,0,0,NA
2020,202001,816191,2020010078957,9,2020008161911,39,153,180339,4,1,9,1,31,524,52400,3,9999,8,0,0,0,NA
2020,202001,816203,2020010079242,45,2020008162031,39,0,420039,3,1,45,2,40,200,20000,3,9999,22,7020,2000,2000,"Natural Resources, Construction, and Maintenance Occupations"
2020,202001,816212,2020010079483,68,2020008162121,39,89,380039,4,1,68,2,19,300,30025,3,9999,16,4540,6000,6000,"Service Occupations"
2020,202001,816213,2020010079492,69,2020008162131,39,169,200039,4,1,69,2,19,518,51800,3,9999,1,1555,2300,2300,"Computer and Mathematical Occupations"
2020,202001,816235,2020010080112,36,2020008162351,39,7,130039,4,1,36,1,31,524,52400,3,9999,8,0,0,0,NA
2020,202001,816236,2020010080118,52,2020008162361,39,35,90839,4,1,52,1,22,518,51800,3,9999,4,2545,9600,9600,"Education, Legal, Community Service, Arts, and Media Occupations"
2020,202001,816257,2020010080444,50,2020008162571,39,49,411039,3,1,50,1,33,200,20000,3,9999,21,6230,15000,15000,"Natural Resources, Construction, and Maintenance Occupations"
2020,202001,816271,2020010080682,26,2020008162711,39,61,550439,4,1,26,2,18,535,53500,1,9999,9,9620,25000,25000,"Production, Transportation, and Material Moving Occupations"
2020,202001,816296,2020010081157,55,2020008162961,39,35,90839,4,1,55,1,20,500,50000,3,9999,1,0,0,0,NA
2020,202001,816300,2020010081226,53,2020008163001,39,35,90839,4,1,53,1,18,600,60072,1,9999,11,0,0,0,NA
2020,202001,816308,2020010081382,52,2020008163081,39,61,550439,4,1,52,2,18,535,53500,1,9999,9,9620,25000,25000,"Production, Transportation, and Material Moving Occupations"
2020,202001,816382,2020010083505,8,2020008163821,39,0,110039,4,1,8,1,52,501,50100,1,9999,49,8740,25600,25600,"Production, Transportation, and Material Moving Occupations"
2020,202001,816385,2020010083678,43,2020008163851,39,93,80239,3,1,43,1,34,200,20000,2,2007,15,6230,15000,15000,"Natural Resources, Construction, and Maintenance Occupations"
2020,202001,816392,2020010083898,15,2020008163921,39,49,410539,4,1,15,1,31,524,52400,3,9999,8,0,0,0,NA
2020,202001,816409,2020010084315,65,2020008164091,39,61,550139,4,1,65,1,18,600,60064,2,2010,11,4655,2000,2000,"Service Occupations"
2020,202001,816421,2020010084762,49,2020008164211,39,0,40039,3,1,49,2,77,300,30050,2,1976,52,0,18000,0,NA
2020,202001,816454,2020010085580,47,2020008164541,39,17,540239,3,1,47,1,23,200,20000,3,9999,14,4210,48000,0,"Service Occupations"
2020,202001,816498,2020010086591,30,2020008164981,39,89,380039,4,1,30,1,18,518,51800,3,9999,0,4220,750,750,"Service Occupations"
2020,202001,816514,2020010086930,50,2020008165141,39,0,570039,3,1,50,1,42,200,20000,3,9999,3,6230,0,0,"Natural Resources, Construction, and Maintenance Occupations"
2020,202001,816529,2020010087335,51,2020008165291,39,57,470039,3,1,51,1,23,200,20000,3,9999,14,4210,48000,0,"Service Occupations"
2020,202001,816586,2020010088821,59,2020008165861,39,57,470039,4,1,59,1,19,500,50000,3,9999,0,0,0,0,NA
2020,202001,816604,2020010089276,26,2020008166041,39,89,380039,4,1,26,1,18,500,50000,3,9999,1,6130,0,0,"Natural Resources, Construction, and Maintenance Occupations"
