"MET2013_NAME","TOTAL","Africa","Americas","Asia","Europe","Oceania","<NA>"
"Greenville-Anderson-Mauldin, SC",30157,554,14812,9919,4872,0,0
"Omaha-Council Bluffs, NE-IA",29968,3894,10834,11598,3552,90,0
"Greensboro-High Point, NC",28563,6550,7258,10241,4514,0,0
"Boise City, ID",28360,1034,11639,10055,5207,425,0
"Syracuse, NY",28188,2292,6628,11607,7604,0,57
"Charleston-North Charleston, SC",27762,1717,8900,11422,5723,0,0
"Yuma, AZ",27204,220,24862,1869,253,0,0
"Des Moines-West Des Moines, IA",26647,5296,4572,13980,2719,80,0
"El Centro, CA",26637,0,26132,451,54,0,0
"Santa Cruz-Watsonville, CA",26126,411,14457,6980,3738,540,0
"Dayton, OH",24462,3107,4198,12769,4001,387,0
"Anchorage, AK",24229,1798,5492,12942,3321,676,0
"Laredo, TX",23219,0,22835,19,365,0,0
"Wichita, KS",23138,754,7537,12703,2144,0,0
"Harrisburg-Carlisle, PA",23013,3821,1696,14424,3041,31,0
"Manchester-Nashua, NH",22394,4776,7451,4996,5079,92,0
"Scranton--Wilkes-Barre--Hazleton, PA",22052,724,10900,6950,3326,152,0
"Fayetteville-Springdale-Rogers, AR-MO",21576,939,13926,4699,1364,520,128
"Pensacola-Ferry Pass-Brent, FL",21556,187,6538,9778,4464,589,0
"Provo-Orem, UT",20745,316,13930,4182,1719,598,0
"Akron, OH",20093,779,2337,11489,5391,97,0
"Knoxville, TN",19613,960,6498,10026,2040,89,0
"Lancaster, PA",19354,978,4391,9824,4161,0,0
"Lincoln, NE",18797,661,7270,7707,3159,0,0
"Ogden-Clearfield, UT",18538,272,9594,4600,2583,1430,59
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",18468,1760,5588,3584,7536,0,0
"Las Cruces, NM",18325,0,16042,1612,671,0,0
"Ocala, FL",18323,531,9226,6063,2503,0,0
"Atlantic City-Hammonton, NJ",18292,1415,7549,6539,2660,129,0
"Yuba City, CA",18198,11,5657,11769,532,229,0
"Gainesville, FL",17626,896,7995,6534,2201,0,0
"Birmingham-Hoover, AL",17312,2185,6319,7320,1417,71,0
"Yakima, WA",16898,114,13544,2760,388,92,0
"Columbia, SC",16824,1157,5419,6883,3365,0,0
"Winston-Salem, NC",16442,446,9185,4017,2794,0,0
"Chico, CA",16358,85,3752,10689,1492,340,0
"Corpus Christi, TX",16223,228,11401,3156,1438,0,0
"Olympia-Tumwater, WA",16064,291,2723,11192,1344,514,0
"San Luis Obispo-Paso Robles-Arroyo Grande, CA",15326,241,6856,5736,2493,0,0
"Norwich-New London, CT",15288,0,5805,7115,2231,137,0
"Rockford, IL",15176,843,5770,4802,3761,0,0
"Portland-South Portland, ME",15143,991,4508,4704,4692,248,0
"Salisbury, MD-DE",15055,1322,4731,6537,2465,0,0
"Fayetteville, NC",14836,599,7617,4632,1988,0,0
"Spokane-Spokane Valley, WA",14733,1161,3645,5636,3716,489,86
"Reading, PA",14597,82,10274,2208,2033,0,0
"Beaumont-Port Arthur, TX",14576,869,7804,4797,1106,0,0
"Huntsville, AL",14066,1188,3555,5328,3995,0,0
"Chattanooga, TN-GA",13970,559,4059,6995,2357,0,0
"Toledo, OH",13769,1082,2802,7779,2106,0,0
"Baton Rouge, LA",13757,1376,4500,6582,939,360,0
"East Stroudsburg, PA",13679,247,4166,3961,5305,0,0
"Barnstable Town, MA",13417,81,4133,3290,5702,211,0
"Asheville, NC",13299,377,4679,4796,3427,20,0
"Napa, CA",13298,62,9089,3247,833,67,0
"Springfield, MO",13099,267,1519,7235,4078,0,0
"Sebastian-Vero Beach, FL",13034,137,5739,4620,2538,0,0
"Fort Collins, CO",12254,365,3721,3755,4329,84,0
"Bellingham, WA",11737,0,5478,3805,2221,233,0
"Augusta-Richmond County, GA-SC",11465,933,3793,5624,1115,0,0
"Odessa, TX",11462,0,10663,799,0,0,0
"Hanford-Corcoran, CA",11447,0,5319,4709,1419,0,0
"Fort Wayne, IN",11429,1849,2674,5631,1275,0,0
"Little Rock-North Little Rock-Conway, AR",11429,1252,2787,6166,1224,0,0
"Utica-Rome, NY",11220,113,1814,4414,4879,0,0
"Madera, CA",11120,131,9215,1479,295,0,0
"Amarillo, TX",10971,313,5405,4226,1027,0,0
"Bremerton-Silverdale, WA",10253,288,2220,5772,1857,116,0
"Punta Gorda, FL",9963,343,6985,1056,1579,0,0
"Lafayette, LA",9871,0,3117,5103,1651,0,0
"Lansing-East Lansing, MI",9816,1954,637,5264,1961,0,0
"Eugene, OR",9787,329,2920,5000,1466,72,0
"Spartanburg, SC",9754,1022,2292,2928,3512,0,0
"Burlington-South Burlington, VT",9512,855,2613,2698,2600,746,0
"York-Hanover, PA",9039,578,3841,2559,2061,0,0
"Champaign-Urbana, IL",8974,980,2532,4372,1007,83,0
"Ithaca, NY",8914,695,238,5965,2016,0,0
"College Station-Bryan, TX",8723,425,3603,3717,978,0,0
"Lafayette-West Lafayette, IN",8693,1065,1446,4706,1476,0,0
"Tyler, TX",8638,868,6832,832,106,0,0
"Gainesville, GA",8581,156,6240,1335,850,0,0
"Mobile, AL",8309,0,2315,4900,1094,0,0
"Homosassa Springs, FL",8235,160,4319,1086,2670,0,0
"Binghamton, NY",7956,254,1183,3667,2852,0,0
"Santa Fe, NM",7888,83,2654,1493,3658,0,0
"Kalamazoo-Portage, MI",7780,67,2611,2956,2146,0,0
"Clarksville, TN-KY",7734,245,1648,4684,1157,0,0
"Lubbock, TX",7721,1912,2929,1696,1102,82,0
"Racine, WI",7564,306,2922,2520,1816,0,0
"Hilton Head Island-Bluffton-Beaufort, SC",7448,652,4631,817,1348,0,0
"Midland, TX",7413,343,3845,3151,74,0,0
"Roanoke, VA",7358,200,1032,3405,2721,0,0
"Prescott, AZ",7316,112,2839,1367,2998,0,0
"Montgomery, AL",7006,530,1283,4764,429,0,0
"Tuscaloosa, AL",6855,117,1348,5048,342,0,0
"Redding, CA",6498,0,2048,3532,918,0,0
"Elkhart-Goshen, IN",6476,601,4387,498,990,0,0
"Youngstown-Warren-Boardman, OH-PA",6381,112,1272,3012,1985,0,0
"Lake Havasu City-Kingman, AZ",6378,0,4881,683,814,0,0
"Iowa City, IA",6293,926,517,4251,599,0,0
"Waco, TX",6278,120,5133,1025,0,0,0
"Hickory-Lenoir-Morganton, NC",6268,0,2593,2541,1134,0,0
"Jackson, MS",6139,1453,900,2780,1006,0,0
"Burlington, NC",6021,561,3807,1285,368,0,0
"Wenatchee, WA",5773,482,3733,1104,353,101,0
"Columbia, MO",5770,568,863,3399,940,0,0
"Erie, PA",5703,602,157,1983,2961,0,0
"Bend-Redmond, OR",5640,114,559,2923,1847,197,0
"Greenville, NC",5638,1052,1272,2555,759,0,0
"Canton-Massillon, OH",5353,0,1260,1740,2242,111,0
"Dover, DE",5314,2160,911,1425,818,0,0
"Bloomington, IL",5310,534,1241,2532,1003,0,0
"Shreveport-Bossier City, LA",5275,0,1774,2502,999,0,0
"Wilmington, NC",5124,0,703,2584,1837,0,0
"Harrisonburg, VA",4899,0,1553,2604,742,0,0
"Medford, OR",4810,0,1961,1803,1002,44,0
"Gulfport-Biloxi-Pascagoula, MS",4678,40,1835,2006,797,0,0
"Niles-Benton Harbor, MI",4496,265,674,1718,1836,0,3
"Bloomington, IN",4486,247,1128,1736,1375,0,0
"Topeka, KS",4303,0,749,2938,616,0,0
"St. George, UT",3928,0,2875,445,593,15,0
"Oshkosh-Neenah, WI",3888,98,1009,2401,380,0,0
"Daphne-Fairhope-Foley, AL",3867,359,1014,1180,1314,0,0
"Lawrence, KS",3866,815,0,2662,389,0,0
"Kankakee, IL",3736,0,1572,1965,199,0,0
"Blacksburg-Christiansburg-Radford, VA",3703,398,628,1504,1024,149,0
"St. Joseph, MO-KS",3555,0,886,2650,19,0,0
"Lynchburg, VA",3454,673,924,1517,340,0,0
"State College, PA",3413,0,1114,1122,1177,0,0
"Auburn-Opelika, AL",3190,0,587,1303,1300,0,0
"Flagstaff, AZ",3159,220,1431,891,617,0,0
"San Angelo, TX",3075,149,2420,236,270,0,0
"Wichita Falls, TX",2936,354,421,1648,513,0,0
"Janesville-Beloit, WI",2931,0,1494,561,876,0,0
"Pittsfield, MA",2896,273,749,662,1125,87,0
"Lebanon, PA",2803,34,166,2250,353,0,0
"Pueblo, CO",2803,0,1689,640,474,0,0
"Ocean City, NJ",2750,0,1401,183,1166,0,0
"Glens Falls, NY",2685,88,1148,1002,447,0,0
"Goldsboro, NC",2675,0,1715,877,83,0,0
"Lewiston-Auburn, ME",2645,718,615,1108,204,0,0
"Saginaw, MI",2642,171,477,970,1024,0,0
"Anniston-Oxford-Jacksonville, AL",2579,165,581,1209,624,0,0
"Eau Claire, WI",2578,0,176,2028,374,0,0
"Coeur d'Alene, ID",2487,178,926,581,676,126,0
"Springfield, IL",2451,75,479,1256,641,0,0
"Florence, SC",2390,40,825,982,543,0,0
"Bismarck, ND",2293,262,586,602,843,0,0
"Wausau, WI",2180,138,411,1028,603,0,0
"Sheboygan, WI",2178,0,274,1560,344,0,0
"Morgantown, WV",2081,644,175,1017,245,0,0
"Jackson, MI",1898,0,1353,427,118,0,0
"Charleston, WV",1826,0,437,1204,185,0,0
"Monroe, LA",1782,0,310,1104,368,0,0
"Monroe, MI",1731,0,129,994,608,0,0
"Houma-Thibodaux, LA",1644,0,1325,319,0,0,0
"Muskegon, MI",1626,120,337,1033,136,0,0
"Grand Junction, CO",1455,11,493,389,442,120,0
